USAGE ID,TASK ID,MATERIAL ID,MATERIALS,QUANTITY,Unit,Cost
91,025,91,Oxy/Acetylene,1,set,"2,500.00"
92,025,92,Consumables (3% of material cost),,,"1,479.11"
93,026,93,Structural Steel Purlis,197.93,kg.,"9,500.40"
94,026,94,Welding Rod,3.77,kg.,614.51
95,026,95,Consumables (5% of material cost),,,505.75
96,027,96,50 mm dia stainless steel pipe,7.00 ,pc.,"10,024.00"
97,027,97,25 mm dia stainless steel pipe,14.00 ,pc.,"8,904"
98,027,98,40 mm x 3 mm flat bar,9.00 ,pc.,"2,448.00"
99,027,99,50 m x 100 mm rectangular tuble,18.00 ,pc.,"32,400.00"
100,027,100,Welding Rod,10.00 ,kg.,"1,630.00"
101,027,101,PWD Railings for Various Comfort Rooms,1.00 ,L.S.,"80,000.00"
102,027,102,Consumables (5% of material cost),,,"6,770.30"
103,050,103,20 mm dia rigid steel conduit,15.00 ,m.,"7,560.00"
104,050,104,32 mm dia rigid steel conduit,15.00 ,m.,"14,475.00"
105,050,105,15 mm dia PVC conduit pipe,15.00 ,pc.,"1,095.00"
106,050,106,20 mm dia PVC conduit pipe,7.00 ,pc.,672.00 
107,050,107,15 mm dia PVC Elbow,16.00 ,pc.,112.00 
108,050,108,15 mm dia PVC Tee,5.00 ,pc.,35.00 
109,050,109,20 mm dia PVC Elbow,18.00 ,pc.,378.00 
110,050,110,Utility Box,15.00 ,pc.,480.00 
111,050,111,Junction Box,23.00 ,pc.,782.00 
112,050,112,Miscellaneous (2% of Material Cost),,,511.78
113,051,113,3.5 sq m THW/THHN,2.00 ,roll,"7,200.00"
114,051,114,5.5 sq m THW/THHN,1.00 ,roll,"5,700.00"
115,051,115,14 sq m THW/THHN,1.00 ,roll,"14,510.00"
116,051,116,30 sq m THW/THHN,3.00 ,roll,"92,700.00"
117,051,117,Duplex Convenient Outlet,7.00 ,set,"27,300.00"
118,051,118,2-gang switch,5.00 ,set,660.00 
119,051,119,3-gang switch,3.00 ,set,534.00 
120,051,120,electrical tape,5.00 ,roll,155.00 
121,052,121,Panel Board 10 Branches MCB,1.00 ,set,"11,800.00"
122,052,122,Panel Board 6 Branches MCB,1.00 ,set,"7,100.00"
123,052,123,Main Distribution Line 4 Branches,1.00 ,set,"4,700.00"
124,053,124,1x15 watt LED flourescent Fixtures,1.00 ,pc.,"1,280.00"
125,053,125,21 watts led,24.00 ,pc.,"50,400.00"
126,053,126,emergency light,1.00 ,pc.,"2,500.00"
127,053,127,7 WATTS Led Wall lights,6.00 ,pc.,"4,800.00"
128,053,128,5 WATTS LED Reccessed Downlight,22.00 ,pc.,"17,160.00"
129,053,129,18 WATTS LED Tape,8.0 ,pc.,"4,800.00"
130,054,130,Grounding System,1.00 ,L.S.,"50,000.00"
131,054,131,Telephone Outlet,3.00 ,set,624.00 
132,054,132,Intercom Outlet,3.00 ,set,"14,310.00"
133,054,133,UTP Cable,1.00 ,roll,"2,864.00"
134,054,134,Intercom Cable,1.00 ,roll,"4,225.00"
135,055,135,Electric Elevator,1.0 ,L.S.,"5,000,000.00"
